Type                                  Module                      Label             Process   
edm::AssociationMap<edm::OneToValue<vector<reco::RecoEcalCandidate>,float,unsigned int> >    "hltEgammaPixelMatchVarsUnseeded"   "etaWidth"        "MYHLT"   
edm::AssociationMap<edm::OneToValue<vector<reco::RecoEcalCandidate>,float,unsigned int> >    "hltEgammaGsfTrackVars"     "fbrem"           "MYHLT"   
edm::AssociationMap<edm::OneToValue<vector<reco::RecoEcalCandidate>,float,unsigned int> >    "hltEgammaPixelMatchVars"   "nrClus"          "MYHLT"   
edm::AssociationMap<edm::OneToValue<vector<reco::RecoEcalCandidate>,float,unsigned int> >    "hltEgammaPixelMatchVarsUnseeded"   "nrClus"          "MYHLT"   
edm::AssociationMap<edm::OneToValue<vector<reco::RecoEcalCandidate>,float,unsigned int> >    "hltEgammaPixelMatchVars"   "phiWidth"        "MYHLT"   
edm::AssociationMap<edm::OneToValue<vector<reco::RecoEcalCandidate>,float,unsigned int> >    "hltEgammaPixelMatchVarsUnseeded"   "phiWidth"        "MYHLT"   
edm::AssociationMap<edm::OneToValue<vector<reco::RecoEcalCandidate>,float,unsigned int> >    "hltEgammaPixelMatchVars"   "s2"              "MYHLT"   
edm::AssociationMap<edm::OneToValue<vector<reco::RecoEcalCandidate>,float,unsigned int> >    "hltEgammaPixelMatchVarsUnseeded"   "s2"              "MYHLT"   
edm::AssociationMap<edm::OneToValue<vector<reco::RecoEcalCandidate>,float,unsigned int> >    "hltEgammaClusterShape"     "sMajor"          "MYHLT"   
edm::AssociationMap<edm::OneToValue<vector<reco::RecoEcalCandidate>,float,unsigned int> >    "hltEgammaClusterShapeUnseeded"   "sMajor"          "MYHLT"   
edm::AssociationMap<edm::OneToValue<vector<reco::RecoEcalCandidate>,float,unsigned int> >    "hltEgammaClusterShape"     "sMinor"          "MYHLT"   
edm::AssociationMap<edm::OneToValue<vector<reco::RecoEcalCandidate>,float,unsigned int> >    "hltEgammaClusterShapeUnseeded"   "sMinor"          "MYHLT"   
edm::AssociationMap<edm::OneToValue<vector<reco::RecoEcalCandidate>,float,unsigned int> >    "hltEgammaPixelMatchVars"   "seedClusEFrac"   "MYHLT"   
edm::AssociationMap<edm::OneToValue<vector<reco::RecoEcalCandidate>,float,unsigned int> >    "hltEgammaPixelMatchVarsUnseeded"   "seedClusEFrac"   "MYHLT"   
edm::AssociationMap<edm::OneToValue<vector<reco::RecoEcalCandidate>,float,unsigned int> >    "hltEgammaClusterShape"     "sigmaIEtaIEta5x5"   "MYHLT"   
edm::AssociationMap<edm::OneToValue<vector<reco::RecoEcalCandidate>,float,unsigned int> >    "hltEgammaClusterShapeUnseeded"   "sigmaIEtaIEta5x5"   "MYHLT"   
edm::AssociationMap<edm::OneToValue<vector<reco::RecoEcalCandidate>,float,unsigned int> >    "hltEgammaClusterShape"     "sigmaIEtaIEta5x5NoiseCleaned"   "MYHLT"   
edm::AssociationMap<edm::OneToValue<vector<reco::RecoEcalCandidate>,float,unsigned int> >    "hltEgammaClusterShapeUnseeded"   "sigmaIEtaIEta5x5NoiseCleaned"   "MYHLT"   
edm::AssociationMap<edm::OneToValue<vector<reco::RecoEcalCandidate>,float,unsigned int> >    "hltEgammaClusterShape"     "sigmaIPhiIPhi"   "MYHLT"   
edm::AssociationMap<edm::OneToValue<vector<reco::RecoEcalCandidate>,float,unsigned int> >    "hltEgammaClusterShapeUnseeded"   "sigmaIPhiIPhi"   "MYHLT"   
edm::AssociationMap<edm::OneToValue<vector<reco::RecoEcalCandidate>,float,unsigned int> >    "hltEgammaClusterShape"     "sigmaIPhiIPhi5x5"   "MYHLT"   
edm::AssociationMap<edm::OneToValue<vector<reco::RecoEcalCandidate>,float,unsigned int> >    "hltEgammaClusterShapeUnseeded"   "sigmaIPhiIPhi5x5"   "MYHLT"   
edm::AssociationMap<edm::OneToValue<vector<reco::RecoEcalCandidate>,float,unsigned int> >    "hltEgammaClusterShape"     "sigmaIPhiIPhi5x5NoiseCleaned"   "MYHLT"   
edm::AssociationMap<edm::OneToValue<vector<reco::RecoEcalCandidate>,float,unsigned int> >    "hltEgammaClusterShapeUnseeded"   "sigmaIPhiIPhi5x5NoiseCleaned"   "MYHLT"   
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltEgammaGsfTracks"        ""                "MYHLT"   
edm::SortedCollection<EcalRecHit,edm::StrictWeakOrdering<EcalRecHit> >    "hltEgammaHLTExtra"         "EcalRecHitsEB"   "MYHLT"   
edm::SortedCollection<EcalRecHit,edm::StrictWeakOrdering<EcalRecHit> >    "hltEgammaHLTExtra"         "EcalRecHitsEE"   "MYHLT"   
edm::SortedCollection<HBHERecHit,edm::StrictWeakOrdering<HBHERecHit> >    "hltEgammaHLTExtra"         ""                "MYHLT"   
edm::TriggerResults                   "TriggerResults"            ""                "MYHLT"   
int                                   "hltEgammaHLTExtra"         "countEcalRecHitsEcalRecHitsEBThres0GeV"   "MYHLT"   
int                                   "hltEgammaHLTExtra"         "countEcalRecHitsEcalRecHitsEBThres0p5GeV"   "MYHLT"   
int                                   "hltEgammaHLTExtra"         "countEcalRecHitsEcalRecHitsEBThres1GeV"   "MYHLT"   
int                                   "hltEgammaHLTExtra"         "countEcalRecHitsEcalRecHitsEBThres1p5GeV"   "MYHLT"   
int                                   "hltEgammaHLTExtra"         "countEcalRecHitsEcalRecHitsEBThres2GeV"   "MYHLT"   
int                                   "hltEgammaHLTExtra"         "countEcalRecHitsEcalRecHitsEEThres0GeV"   "MYHLT"   
int                                   "hltEgammaHLTExtra"         "countEcalRecHitsEcalRecHitsEEThres0p5GeV"   "MYHLT"   
int                                   "hltEgammaHLTExtra"         "countEcalRecHitsEcalRecHitsEEThres1GeV"   "MYHLT"   
int                                   "hltEgammaHLTExtra"         "countEcalRecHitsEcalRecHitsEEThres1p5GeV"   "MYHLT"   
int                                   "hltEgammaHLTExtra"         "countEcalRecHitsEcalRecHitsEEThres2GeV"   "MYHLT"   
int                                   "hltEgammaHLTExtra"         "countHcalRecHitsThres0GeV"   "MYHLT"   
int                                   "hltEgammaHLTExtra"         "countHcalRecHitsThres0p5GeV"   "MYHLT"   
int                                   "hltEgammaHLTExtra"         "countHcalRecHitsThres1GeV"   "MYHLT"   
int                                   "hltEgammaHLTExtra"         "countHcalRecHitsThres1p5GeV"   "MYHLT"   
int                                   "hltEgammaHLTExtra"         "countHcalRecHitsThres2GeV"   "MYHLT"   
vector<reco::CaloCluster>             "hltParticleFlowSuperClusterECALL1Seeded"   "hltParticleFlowBasicClusterECALBarrel"   "MYHLT"   
vector<reco::CaloCluster>             "hltParticleFlowSuperClusterECALUnseeded"   "hltParticleFlowBasicClusterECALBarrel"   "MYHLT"   
vector<reco::CaloCluster>             "hltParticleFlowSuperClusterECALL1Seeded"   "hltParticleFlowBasicClusterECALEndcap"   "MYHLT"   
vector<reco::CaloCluster>             "hltParticleFlowSuperClusterECALUnseeded"   "hltParticleFlowBasicClusterECALEndcap"   "MYHLT"   
vector<reco::CaloCluster>             "hltParticleFlowSuperClusterECALL1Seeded"   "hltParticleFlowBasicClusterECALPreshower"   "MYHLT"   
vector<reco::CaloCluster>             "hltParticleFlowSuperClusterECALUnseeded"   "hltParticleFlowBasicClusterECALPreshower"   "MYHLT"   
vector<reco::ElectronSeed>            "hltEgammaElectronPixelSeeds"   ""                "MYHLT"   
vector<reco::ElectronSeed>            "hltEgammaElectronPixelSeedsUnseeded"   ""                "MYHLT"   
vector<reco::GsfTrack>                "hltEgammaGsfTracks"        ""                "MYHLT"   
vector<reco::GsfTrackExtra>           "hltEgammaGsfTracks"        ""                "MYHLT"   
vector<reco::PFCluster>               "hltEgammaHLTExtra"         "Ecal"            "MYHLT"   
vector<reco::PFCluster>               "hltEgammaHLTExtra"         "EcalUnseeded"    "MYHLT"   
vector<reco::PFCluster>               "hltEgammaHLTExtra"         "Hcal"            "MYHLT"   
vector<reco::RecoEcalCandidate>       "hltEgammaCandidates"       ""                "MYHLT"   
vector<reco::RecoEcalCandidate>       "hltEgammaCandidatesUnseeded"   ""                "MYHLT"   
vector<reco::SuperCluster>            "hltParticleFlowSuperClusterECALL1Seeded"   "hltParticleFlowSuperClusterECALBarrel"   "MYHLT"   
vector<reco::SuperCluster>            "hltParticleFlowSuperClusterECALUnseeded"   "hltParticleFlowSuperClusterECALBarrel"   "MYHLT"   
vector<reco::SuperCluster>            "hltParticleFlowSuperClusterECALL1Seeded"   "hltParticleFlowSuperClusterECALEndcapWithPreshower"   "MYHLT"   
vector<reco::SuperCluster>            "hltParticleFlowSuperClusterECALUnseeded"   "hltParticleFlowSuperClusterECALEndcapWithPreshower"   "MYHLT"   
vector<reco::Track>                   "hltEgammaHLTExtra"         ""                "MYHLT"   
vector<reco::TrackExtra>              "hltEgammaGsfTracks"        ""                "MYHLT"   
vector<trigger::EgammaObject>         "hltEgammaHLTExtra"         ""                "MYHLT"   
vector<trigger::EgammaObject>         "hltEgammaHLTExtra"         "Unseeded"        "MYHLT"   
trigger::TriggerEvent                 "hltTriggerSummaryAOD"      ""                "MYHLT"   
